"nbsp";"sing.sp";"FRic";"qual.FRic";"FEve";"FDiv";"FDis";"RaoQ"
"abrolhos.chapeirao";14;10;0.470217057010555;0.108086192772947;0.306118898378813;0.806419016122909;0.196489731671011;0.0406835175770829
"abrolhos.portinho_norte";13;8;0.131180344865844;0.108086192772947;0.381848354866269;0.816756453548581;0.188174351826009;0.0375307289989718
"abrolhos.siriba";18;10;0.200258880905799;0.108086192772947;0.39751559128122;0.962788813265316;0.144705652713369;0.0255178174600605
"alcatrazes.portinho_sudoeste";6;6;0.16797478337291;0.108086192772947;0.495777061326203;0.798168515315199;0.0668645357993585;0.0145130621236278
"arraial.anequim";13;9;0.118853632682577;0.108086192772947;0.393874299413918;0.830607456472701;0.164932886012244;0.0318526664821047
"arraial.cardeiros";16;12;0.419412149698405;0.108086192772947;0.363667169953339;0.696528147336805;0.174167173067264;0.0358726209826899
"arraial.porcos_oeste";11;9;0.137033309082645;0.108086192772947;0.418225791726707;0.757630383170451;0.139130726672753;0.0255077834221207
"btds_santos.farol_da_barra";7;6;0.166384987409913;0.108086192772947;0.149003562555952;0.528719795702838;0.0869300734254429;0.0105852982807213
"btds_santos.frades";6;5;0.0721441791238345;0.108086192772947;0.0412306419031383;0.830790689745706;0.18480310655969;0.0352260767460266
"btds_santos.pedra_cardinal";8;7;0.0956191701546518;0.108086192772947;0.306920026029144;0.83454441541352;0.106750258323758;0.0201576941840381
"btds_santos.poste_quatro";5;4;0.0327114481132405;0.108086192772947;0.596263649010342;0.804364884456148;0.00977605002991768;0.00182614347219594
"costa_corais.barra_da_gale";16;11;0.157463811560261;0.108086192772947;0.424580081460655;0.445666979116803;0.124344824579851;0.0240584414583481
"costa_corais.gales";11;9;0.142105136076996;0.108086192772947;0.271277852112308;0.675117989286394;0.188034062388878;0.0363466026843339
"costa_corais.taocas";9;6;0.0948749538421544;0.108086192772947;0.497591089793142;0.781646874941027;0.147687949873576;0.0244914930607288
"espirito_santo.escalvada";17;12;0.794239296133531;0.108086192772947;0.18922169243185;0.623715674670625;0.0423270075710247;0.00842500724949809
"espirito_santo.ilhas_rasas";14;11;0.422110542260616;0.108086192772947;0.368833648190299;0.635960567786272;0.134089974884057;0.0335855768171901
"ilhabela.ilha_das_cabras";14;9;0.248095120472093;0.108086192772947;0.447841462609305;0.968171353152117;0.0740460121116637;0.0157706821472511
"ilhabela.saco_do_diogo";14;11;0.17433721300789;0.108086192772947;0.370996111172482;0.937019330861676;0.147954431220185;0.0313903401845892
"ilhabela.saco_do_sombrio";10;9;0.274985043479461;0.108086192772947;0.405377260764602;0.55889143602978;0.149033471807805;0.0275393211478491
"ilhasc_norte.arvoredo_saco_dagua";10;9;0.193845630342549;0.108086192772947;0.197523840023104;0.338219791514852;0.086257680190862;0.0114098983868754
"ilhasc_norte.deserta_norte";9;9;0.207081331085712;0.108086192772947;0.579424109287319;0.934199874953203;0.099064067809753;0.0183848299294078
"ilhasc_sul.xavier_ponta_sul";10;9;0.144357878817034;0.108086192772947;0.380075526418654;0.859848690207605;0.133263034873084;0.0243532914177871
"manuel_luis.ana_cristina";8;6;0.097428396848441;0.108086192772947;0.505748741581515;0.758754364409502;0.149269519409059;0.0245157747719538
"noronha.cagarras_noronha";6;4;0.0566833070302263;0.108086192772947;0.496449912874377;0.639722866272539;0.0713585578482555;0.0139742072548125
"noronha.conceicao";6;5;0.162474286511694;0.108086192772947;0.242732296221448;0.630883458573504;0.021100161650361;0.00445800759857507
"rgnor_norte.batente_das_agulhas";2;2;NA;0.108086192772947;NA;NA;0.000511432612739059;1.42064614649733e-05
"rgnor_norte.pedra_do_silva";3;2;NA;0.108086192772947;NA;NA;0.00336402725138846;0.000654116409992198
"rgnor_parrachos.maracajau";6;5;0.11912349463769;0.108086192772947;0.443435211963447;0.877017351621539;0.197506746162863;0.0392795568718795
"rgnor_parrachos.parrachos_de_rio_do_fogo";5;5;0.11912349463769;0.108086192772947;0.602246794701898;0.995083924516817;0.00562064962673473;0.00106671030692332
"rocas.ancoras";6;6;0.0860618047211335;0.108086192772947;0.348337577360603;0.805242690610878;0.137175897768732;0.028219304521798
"rocas.falsa_barreta";11;9;0.123581956997914;0.108086192772947;0.636811577771017;0.671899893204176;0.141607198913486;0.0270025987498558
"rocas.piscina_das_rocas";6;5;0.152864456389939;0.108086192772947;0.632286895337838;0.736827851013995;0.22903890138535;0.0531944825262675
"rocas.podes_crer";9;7;0.0898031268478032;0.108086192772947;0.408576490533151;0.870884036681318;0.178643815470416;0.0378076844608566
"rocas.salao";8;6;0.0935565148966062;0.108086192772947;0.421006443887205;0.99532351778116;0.144648258636161;0.0242776146422397
"rocas.tartarugas";3;3;0.0768567349021189;0.108086192772947;0.206073904184107;0.974283852729018;0.0665375663088702;0.0139611420379744
"trindade.calheta";10;5;0.0747015259702618;0.108086192772947;0.36102668515086;0.869293323710443;0.0488828593597414;0.00654851057494151
"trindade.farilhoes";7;6;0.285537213613726;0.108086192772947;0.203008475544912;0.731790971486166;0.206557183852052;0.0776560931787577
"trindade.orelhas";6;5;0.0885665632989069;0.108086192772947;0.136246483239446;0.956423602961493;0.0356247990687323;0.00446261479834047
