"","agaricia.sp","millepora.incrusting","millepora.sp","mussismilia.spp","porites.sp","siderastrea.spp"
"abrolhos-chapeirao",0,0,0,0,0,0.0570666666666667
"abrolhos-portinho_norte",0,0,0,0,0,0.0186666666666667
"abrolhos-siriba",0,0,0,0,0,0.00933333333333333
"alcatrazes-portinho_sudoeste",0,0,0,0,0,0
"arraial-anequim",0,0,0,0,0,0.0216357882916667
"arraial-cardeiros",0,0,0,0,0,0.00820733116129032
"arraial-porcos_oeste",0,0,0,0,0,0.0269830086190476
"btds_santos-farol_da_barra",0.000266666666666667,0,0,0,0,0.00213333333333333
"btds_santos-frades",0,0,0,0,0,0.00906666666666667
"btds_santos-pedra_cardinal",0,0,0,0,0,0.0217142857142857
"btds_santos-poste_quatro",0,0,0,0,0,0.008
"costa_corais-barra_da_gale",0.000266666666666667,0.004,0.0221333333333333,0,8e-04,0.000533333333333333
"costa_corais-gales",0,0.00586666666666667,0,0,0,8e-04
"costa_corais-taocas",0,0,0,0,0,0.0024
"espirito_santo-escalvada",0,4e-04,0.0064,0,0,0.00237777776666667
"espirito_santo-ilhas_rasas",0,0.00366666666666667,0.0202666666666667,0,0,0.00544444443333333
"espirito_santo-tres_ilhas",0,0,0.000133333333333333,0,0,0.000133333333333333
"ilhabela-ilha_das_cabras",0,0,0,0,0,0
"ilhabela-saco_do_diogo",0,0,0,0.00381818181818182,0,0
"ilhabela-saco_do_sombrio",0,0,0,0,0,0
"ilhasc_norte-deserta_norte",0,0,0,0,0,0
"ilhasc_norte-saco_dagua",0,0,0,0,0,0
"ilhasc_sul-xavier_ponta_sul",0,0,0,0,0,0
"manuel_luis-ana_cristina",0,0,0,0,0,0.00436363636363636
"noronha-cagarras",0,0.00671428571428571,0,0,0,0.0188571428571429
"noronha-conceicao",0,0.000137931034482759,0,0,0,0.014551724137931
"noronha-sueste",0,0,0,0,0,0.00228571428571429
"rgnor_natal-batente_das_agulhas",0,0,0,0,0,0
"rgnor_natal-pedra_do_silva",0,0,0,0,0,0.00142857142857143
"rgnor_parrachos-maracajau",0,0,0,0,0,0.0702857142857143
"rgnor_parrachos-parrachos_de_rio_do_fogo",0,0,0,0,0,0.002
"rocas-ancoras",0,0,0,0,0,0.017375
"rocas-falsa_barreta",0,0,0,0,0,0.0427631578947368
"rocas-piscina_das_rocas",0,0,0,0,2e-04,0.0017
"rocas-podes_crer",0,0,0,0,0,0.0570588235294118
"rocas-salao",0,0,0,0,0,0.192
"rocas-tartarugas",0,0,0,0,0,0.0753333333333333
"trindade-calheta",0,0,0,0,0,0.000166666666666667
"trindade-farilhoes",0,0,0,0,0,0.00376470588235294
"trindade-orelhas",0,0,0,0,0,0
