"","eventID","higherGeography","verbatimLocality","site","locality","year","eventDate","minimumDepthinMeters","maximumDepthinMeters","samplingProtocol","samplingEffort","sampleSizeValue","decimalLongitude","decimalLatitude","geodeticDatum","Country","countryCode"
"1","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4178","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-05,19,19,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"2","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4179","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-05,15,15,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"3","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4180","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-05,10,10,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"4","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4181","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-05,10,10,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"5","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4182","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-05,19,19,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"6","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4183","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-05,15,15,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"7","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4184","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-05,12,12,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"8","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4185","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-05,6,6,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"9","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4189","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-05,17,17,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"10","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4190","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-05,19,19,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"11","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4191","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-05,12,12,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"12","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4192","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-05,15,15,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"13","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4193","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-05,9,9,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"14","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4194","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-05,10,10,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"15","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4195","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-05,6,6,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"16","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4196","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-05,5,5,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"17","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4197","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-05,6,6,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"18","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4198","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-05,6,6,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"19","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4202","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-06,19,19,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"20","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4203","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-06,20,20,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"21","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4204","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-06,20,20,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"22","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4205","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-06,10,10,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"23","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4206","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-06,6,6,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"24","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4207","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-06,6,6,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"25","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4208","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-06,5,5,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"26","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4209","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-05,16,16,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"27","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4210","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-05,16,16,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"28","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4211","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-05,9,9,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"29","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4215","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-05,9,9,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"30","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4216","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-05,6,6,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"31","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4217","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-05,6,6,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"32","BR:ReefSYN:SISBIOTA-MAR-UVC:BrazilianCoast:abrolhos_chapeirao_2010_4218","BrazilianCoast","chapeirao","abrolhos","chapeirao",2010,2010-03-05,6,6,"underwater visual survey - 20 x 2m",1,40,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
